Chemical,Repellency_skin_YF,Repellency_skin_M,Repellency_clothes_YF,Repellency_clothes_M
"Phthalimide, N-sec-hexyl-",2,2,-,-
"Phthalimide, N-(2-hydroxyethyl)-",-,-,2,1
"Phthalimide, N-(g-hydroxyphenyl)-",-,-,-,-
"Phthalimide, N-isoamyl-",2,1,2,-
"Phthalimide, N-isobutyl-",-,-,2,1
"Phthalimide, N-isopropyl-",-,-,1,1
"Phthalimide, N-methyl-",-,-,-,-
"Phthalimide, N-2-methylallyl-",-,-,2,-
"Phthalimide, N-(1-methylbutyl)-",-,-,1,1
"Phthalimide, N-1-naphthyl-",-,-,1,1
"Phthalimide, N-2-naphthyl-",-,2,-,-
"Phthalimide, 3-nitro-",4,1,-,-
"Phthalimide, 4-nitro-",-,-,1,1
"Phthalimide, N-m-nitrophenyl-",-,-,-,-
"Phthalimide, N-o-nitrophenyl-",-,-,-,-
"Phthalimide, N-(p-nitrophenyl)-",-,1,-,-
"Phthalimide, N-(5-nitro-g-tolyl)-",-,-,1,1
"Phthalimide, N-phenyl-",-,-,-,-
"Phthalimide, N-propyl-",-,-,3,1
"Phthalimide, N-m-tolyl-",-,-,1,1
"Phthalimide, N-o-tolyl-",-,-,-,-
"Phthalimide, N-p-tolyl-",-,-,-,-
Phthalonitrile,-,-,1,1
"Physostigmine, salicylate",-,-,-,-
"Phytic acid, hexacopper (II) salt",-,-,-,-
"Phytic acid, hexazine salt",-,-,3,1
"Picoline, alpha-(p-nitrobenzylidene)-",-,-,-,-
"2-Picoline, 6-acetamido-",-,-,1,1
"2-Picoline, 6-(q-ethoxybenzamido)-",-,-,-,-
"2-Picoline, alpha-furfurylidene-",-,-,2,1
"3-Picoline, 2-acetamido-",-,-,1,1
"3-Picoline, 2-amino-",-,-,3,1
"4-Picoline, 2-acetamido-",-,-,2,1
"4-Picoline, alpha-benzylidene-",-,-,1,1
"2-Picolinium compound, 1-dodecyl-- bromide",-,-,3,1
"2-Picolinium compound, 1-dodecyl-- p-toluenesulfonate",-,-,2,1
"2-Picolinium compound, 1-methyl-- iodide",-,-,-,-
"3-Picolinium compound, 1-dodecyl-- p-toluenesulfonate",-,-,-,-
"4-Picolinium compound, 1-dodecyl-- p-toluenesulfonate",-,-,-,-
Picramic acid,-,-,-,-
Picric acid,-,-,3,1
"Picric acid, copper salt, nicotine compound with",-,-,1,1
"Picric acid, zinc salt, nicotine compound with",-,-,-,-
Picrotoxin,-,-,-,-
Picryl chloride,-,-,-,-
"Pimelic acid, diethyl ester",-,-,-,-
"Pimelic acid, gamma-acetyl-gamma-isopropenyl",-,-,-,-
"Pimelic acid, gamma-acetyl-gamma- isopropenyl-, diethyl ester",-,-,-,-
"Pimelic acid, gamma-acetyl-gamma- isopropenyl-, monoethyl ester",-,-,-,-
"Pimelic acid, gamma-acetyl-gamma-methyl-",-,-,-,-
"Pimelic acid, gamma-acetyl-gamma-methyl-, dibutyl ester",-,-,-,-
"Pimelic acid, gamma-acetyl-gamma-methyl-, diethyl ester",-,-,-,-
"Pimelic acid, alpha, epsilon-dibromo-, diethyl ester",1,2,-,-
"Pimelic acid, gamma-hydroxy-, lactone, ethyl ester",1,1,-,-
"Pimelic acid, gamma-oxo-, diethyl ester",1,1,-,-
"Pimelonitrile, gamma-acetyl-gamma-isopropenyl-",-,-,1,-
"Pimelonitrile, gamma-acetyl-gamma-methyl-",-,-,1,-
"Pimelonitrile, gamma-acetyl-gamma-phenyl-",-,-,1,-
"Pimelonitrile, gamma-benzoyl-gamma-methyl-",-,-,1,-
Pinacol,1,1,-,-
Pinacolone,1,1,-,-
"2,3-Pinanediol",4,2,4,-
"Pinene, d-",1,2,-,-
"Pinene, butyraldehyde cooxidation product",2,3,1,-
"Pinene, chlorinated (68.5% chlorine)",-,-,-,-
"Pinene, chlorinated (68.6% chlorine)",-,-,-,-
"Pinene, chlorinated (68.8% chlorine)",-,-,-,-
"Pinene, chlorinated (69.2% chlorine)",-,-,-,-
"Pinene, ether with ethylene glycol",4,2,4A,-
"alpha-Pinene, ethyl diazoacetate reaction product",-,-,1,-
"alpha-Pinene, pyrolysis product",1,-,-,-
"beta-Pinene, pyrolysis product",1,-,-,-
"4-Pipecoline-1-sulfonamide, N,N-diethyl-",4,3,-,-
"Piperazine, 1-diethylcarbamyl-4-methyl-citrate",-,-,1,-
"Piperazine, 1,4-dinitro-",-,1,1,-
"Piperazine, 1,4-diphenyl-",-,-,-,-
"Piperazine, 1-(sulfanilyl)-",-,-,-,-
"1,4-Piperazinedicarboxylic acid, diethyl ester",-,-,-,-
"1,4-Piperazinedisulfonamide, N,N,N',N'-tetramethyl-",-,-,1,-
"Piperidine, 1-acetoacetyl-",-,-,-,-
"Piperidine, 1-acetyl-",2,2,-,-
"Piperidine, 1-alkyl (C10-C18)-",-,-,2,-
"Piperidine, 1-(2-aminoethyl)-",-,-,1,-
"Piperidine, 1-(3-aminopropyl)-",-,-,2,-
"1-Piperidinebutyric acid, gamma-oxo-, isobutyl ester",1,1,-,-
"1-Piperidinebutyric acid, gamma-oxo-, isopropyl ester",4,3,-,-
"1-Piperidinebutyric acid, gamma-oxo-, methyl ester",1,1,-,-
"1-Piperidinebutyric acid, gamma-oxo-, propyl ester",4,3,2,-
"1-Piperidinecarbodithioic acid, piperidine salt",-,-,-,-
"1-Piperidinecarbodithioic acid, 1-piperidyl ester",-,-,1,-
"1-Piperidinecarboxylic acid, ethyl ester",-,-,2,-
"2,3-Piperidinedicarboxylic acid, diethyl ester",1,1,-,-
1-Piperidineethanol,-,-,1,-
"1-Piperidineglycolonitrile, alpha-phenyl-",-,-,-,-
"1-Piperidinevaleric acid, delta-oxo-, ethyl ester",2,1,-,-
"1-Piperidinevaleric acid, delta-oxo-, methyl ester",3,2,-,-
"2-Piperidone, 1-methyl-",2,2,3,-
"3-Piperidone, 1-(dibutylsulfamyl)-",-,-,-,-
"4-Piperidone, 1-(dibutylsulfamyl)-",4,2,-,-
Piperine,-,-,1,-
Piperitone,-,-,-,-
Piperonal,-,1,4A,2
"Piperonal, semicarbazone",-,-,-,-
Piperonyl alcohol,-,-,3,1
"Piperonyl alcohol, acetate",1,-,-,-
"Piperonyl alcohol, alpha-allyl-",-,-,1,-
"Piperonyl alcohol, alpha-allyl-, acetate",2,3,-,-
"Piperonyl alcohol, alpha-allyl-, benzoate",-,-,1,-
"Piperonyl alcohol, alpha-tert-butyl-",-,-,4A,-
"Piperonyl alcohol, alpha-ethyl-, acetate",-,-,1,-
"Piperonyl alcohol, alpha-isopropyl-",-,-,3,-
"Piperonyl alcohol, alpha-isopropyl-, acetate",-,-,1,-
"Piperonyl alcohol, alpha-methyl-, acetate",-,-,1,-
"Piperonyl alcohol, alpha-propyl-",-,-,1,-
"Piperonyl alcohol, alpha-propyl-, acetate",-,-,1,-
"Piperonyl alcohol, 6-propyl-",-,-,1,-
"Piperonyl alcohol, 6-propyl-, acetate",-,-,1,-
"Procaine, hydrochloride",-,-,1,-
Promtosil,1,1,-,-
"Propane, 1-(o-amylphenoxy)-2,3-epoxy-",1,2,-,-
"Propane, 3-(p-tert-amylphenoxy)-1,2-epoxy-",-,-,1,-
"Propane, 1-(2-biphenylyloxy)-2,3-epoxy-",-,-,1,-
"Propane, 2,2-bis(p-butoxyphenyl)-",-,-,1,-
"Propane, 1,3-bis(4-tert-butyl-2-chlorophenoxy)-2-methyl-",1,1,-,-
"Propane, 1,3-bis(chlorophenyl)-2-methyl-",-,-,1,-
"Propane, 1,3-bis(p-cyclohexylphenoxy)-",-,-,1,-
"Propane, 1-bromo-",-,-,1,-
"Propane, 2-bromo-",-,-,1,-
"Propane, 1-bromo-2-methyl-",-,-,-,-
"Propane, 2-chloro-",1,1,-,-
"Propane, 1-chloro-2,3-epoxy-2-methyl-",-,-,1,-
"Propane, 1-chloro-1-nitro-",-,-,1,-
"Propane, 2-chloro-2-nitro-",-,-,4A,1
"Propane, 1-(p-chlorophenoxy)-2,3-epoxy-",-,-,1,-
"Propane, 1-(4-chloro-o-toloxy)-2,3-epoxy-",-,-,1,-
"Propane, 1,2-dibromo-",-,-,1,-
"Propane, 1,2-dibromo-3-chloro-",-,-,1,-
"Propane, 1,2-dichloro-",-,-,-,-
"Propane, 1,2-dichloro-, mixture with 1,3-dichloropropene",1,1,-,-
"Propane, 1,1-dichloro-x-nitro-",-,-,1,-
"Propane, 1-(2,4-dichlorophenoxy)-2,3-epoxy-",2,3,1,-
"Propane, 1,3-diisoamoxy-2-methyl-",-,-,1,-
"Propane, 1,3-diphenoxy-",-,-,2,-
"Propane, 1,2-epoxy-3-ethoxy-",-,-,1,-
"Propane, 1,2-epoxy-3-(2-naphthoxy)-",-,-,1,-
"Propane, 1,2-epoxy-3-phenoxy-",-,-,4,-
"Propane, 1,2-epoxy-3-(o-toloxy)-",-,-,1,-
"Propane, 1,1,1,2,2,3,3-heptachloro-",-,-,-,-
"Propane, 1,1,1,2,3,3,3-heptachloro-2-fluoro-",1,2,-,-
"Propane, 2-methyl-1,3-diphenoxy-",-,-,-,-
"Propane, 1-nitro-",1,1,-,-
"Propane, 2-nitro-",-,-,1,-
"Propane, 1,1,1,2,3-pentachloro-2-methyl-",-,-,1,-
"Propane, 1,2,3-tribromo-",1,1,1,-
"1,3-Propanediol, 2-butyl-2-ethyl-, diacetate",1,2,-,-
"1,3-Propanediol, 2-butyl-2-ethyl-1-furyl-",1,1,-,-
"1,3-Propanediol, 2-(butylsulfonyl)-2-phenyl-",1,1,4,2
"1,3-Propanediol, 2,2-diethyl-",1,-,-,-
"1,3-Propanediol, 2,2-diethyl-, diacetate",1,1,-,-
"1,3-Propanediol, 2,2-diethyl-1-(2-furyl)-",1,2,-,-
"1,3-Propanediol, 2,2-diethyl-1-phenyl-",-,-,2,1
"1,3-Propanediol, 2,2-dimethyl-",1,3,-,-
"1,3-Propanediol, 2,2-dimethyl-, diacetate",-,-,1,1
"1,3-Propanediol, 2,2-dimethyl-1-(2-furyl)-",2,2,-,-
"1,3-Propanediol, 2,2-dimethyl-1-(2-furyl)-, diacetate",-,-,1,1
"1,3-Propanediol, 2,2-dimethyl-1-phenyl-",-,-,1,1
"1,3-Propanediol, 2,2-dimethyl-1-phenyl-, diacetate",2,2,1,-
"1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-, triacetate",-,-,1,1
"1,3-Propanediol, 2-ethyl-2-nitro-",-,-,1,-
"1,3-Propanediol, 2-ethyl-2-nitro-, diacetate",-,-,1,1
"1,3-Propanediol, 2-ethyl-2-nitro-, dibenzoate",1,1,-,-
"1,3-Propanediol, 2-(ethylsulfonyl)-2-phenyl-",-,-,1,1
"1,3-Propanediol, 2-hydroxymethyl-2-nitro-",-,-,1,-
"1,3-Propanediol, 2-(hydroxymethyl)-2-nitro-, tribenzoate",-,-,1,1
"1,3-Propanediol, 1-(p-methoxyphenyl)-2,2-dimethyl-",1,2,-,-
"1,3-Propanediol, 2-methyl-, diacetate",-,-,1,1
"1,3-Propanediol, 2-methyl-2-nitro-",-,-,1,1
"1,3-Propanediol, 2-methyl-2-nitro-, dibenzoate",1,1,-,-
"1,3-Propanediol, 2-(methylsulfonyl)-2-phenyl-",1,1,-,-
"1,3-Propanediol, 1-phenyl-",2,1,2,-
"1,3-Propanediol, 1-phenyl-, diacetate",-,-,1,1
"1,3-Propanediol, 2-phenyl-2-(p-tolylsulfonyl)-",1,2,-,-
"1,3-Propanediol, 1-tetrahydrofuryl-2,2-dimethyl-",1,1,-,-
"1,3-Propanediol, 2-(p-tolylsulfonyl)-2-vinyl-",-,-,-,-
"1,3-Propanedione, 2-bromo-1,3-diphenyl-",-,-,1,-
"1,3-Propanedione, 1,3-diphenyl-",-,-,-,-
"1,3-Propanediphosphonic acid, tetrabutyl ester",-,-,-,-
"1-Propanol, 2-ethylamino-2-methyl-",-,-,2,-
"1-Propanol, 1-(2-hydroxycyclohexyl)-",3,2,-,-
"1-Propanol, 1-(2-hydroxycyclohexyl)-2-methyl-",-,-,4A,2
"1-Propanol, 1-(2-hydroxyethoxy)-",2,1,-,-
"1-Propanol, 3-(p-hydroxyphenyl)-",1,2,-,-
"1-Propanol, 2-isobornylamino-2-methyl-",-,-,2,-
"1-Propanol, 3-isobornyloxy-",2,2,2,-
"1-Propanol, 3-isobornyloxy-2-methyl-2-nitro-",1,2,-,-
"1-Propanol, 1-(p-methoxyphenyl)-",-,-,4,3
"1-Propanol, 3-(p-methoxyphenyl)-",4,2,4A,-
"1-Propanol, 3-methylmercapto-",-,-,2,-
"1-Propanol, 2-methyl-2-nitro-",-,-,1,1
"1-Propanol, 2-methyl-2-propylamino-",-,-,2,-
"1-Propanol, 3-(1-naphthoxy)-",-,-,1,-
"1-Propanol, 3-(2-naphthoxy)-",-,-,1,-
"1-Propanol, 3-phenoxy-",-,-,4,-
"1-Propanol, 3-phenyl-",2,2,2,-
"1-Propanol, 3-phenyl-, acetate",-,-,1,-
"1-Propanol, 3-phenyl-, benzoate",-,-,1,-
"1-Propanol, 3-phenyl-, formate",-,-,1,-
"1-Propanol, 3-(3,3,5-trimethylcyclohexyloxy)-",4,2,3,-
"1-Propanol, 2,2,3-tris(allyloxymethyl)-",2,1,4A,-
"2-Propanol, 1-amino-",-,-,2,-
"2-Propanol, 1,3-bis(2-hydroxyethylmercapto)-",-,-,-,-
"2-Propanol, 1-butoxy-",-,-,1,-
"2-Propanol, 1-(o-sec-butylphenoxy)-",-,-,1,-
"2-Propanol, 1-(p-sec-butylphenoxy)-",-,-,1,-
"2-Propanol, 1-(p-tert-butylphenoxy)-",-,-,1,-
"2-Propanol, 1-(p-tert-butylphenoxy)- and 1-Propanol, 2-(p-tert-butylphenoxy)-",-,-,1,-
"2-Propanol, 1-(6-chloro-2-methoxy-9-acridylamino)-3-diethylamino-, dihydro-chloride, dihydrate",-,-,-,-
"2-Propanol, 1-chloro-3-phenoxy-",3,2,-,-
"2-Propanol, 1-(o-chlorophenoxy)-",-,-,3,-
"2-Propanol, 1-(p-chlorophenoxy)-",-,-,3,-
"2-Propanol, 1-cyclohexylamino-",-,-,-,-
"2-Propanol, 1-cyclohexyloxy-",-,-,1,-
"2-Propanol, 3-(2-cyclohexyloxy-1-methylethoxy)-",4,-,4,-
"2-Propanol, 1-(p-cyclohexylphenoxy)-",-,-,1,-
"2-Propanol, 1, 3-diamino-",-,-,1,-
"2-Propanol, 1, 3-dibromo-",-,-,2,2
"2-Propanol, 1, 3-dibutoxy-",2,-,-,-
"2-Propanol, 1, 3-dichloro-",-,-,1,-
"2-Propanol, 1, 3-dichloro-, acetate",2,2,1,-
"2-Propanol, 1-(2, 4-dichlorophenoxy)-",-,-,3,-
"2-Propanol, 1, 3-didecyloxy-",2,-,-,-
"2-Propanol, 1, 3-diethoxy-",1,1,-,-
"2-Propanol, 1, 3-diisoamoxy-",4,2,4,-
"2-Propanol, 1, 3-dimethoxy-",1,1,-,-
"2-Propanol, 1-dimethylamino-",-,-,1,-
"2-Propanol, 1, 3-diphenoxy-",-,-,1,1
"2-Propanol, 1, 3-diphenyl-",1,1,-,-
"2-Propanol, 1-(2-ethylhexyloxy)-",1,1,-,-
"2-Propanol, 3-[2-(2-ethylhexyloxy)-1-methylethoxy]-",4,-,4A,-
"2-Propanol, 2, 2'-iminodi-, fluosilicic acid complex (1:1/2 mol ratio)",3,2,-,-
"2-Propanol, 1, 1'-isopropylidenebis[p-phenyleneoxyldi-",-,-,2,-
"2-Propanol, 1-methoxy-",1,1,-,-
"2-Propanol, 1-methoxy-, acetate",4,2,4,-
"2-Propanol, 1-(2-methoxypropoxy)-",-,1,1,1
"2-Propanol, 1-[3-(2-methoxypropoxy)propoxy]-",2,1,-,-
"2-Propanol, 1-(alpha-methylbenzyloxy)-",1,-,-,-
"2-Propanol, 1, 1', 1''-nitrilotri-",-,-,3,-
"2-Propanol, 1, 1'-oxybis[3-hexyloxy-",3,1,-,-
"2-Propanol, 1, 1'-oxydi-",-,-,1,1
"2-Propanol, 1-phenoxy-",4,-,-,-
"2-Propanol, 1-phenoxy-, acetate",3,2,-,-
"2-Propanol, 1-(1-piperidyl)-",-,-,2,-
"2-Propanol, 1-(tetrahydro-2, 6-dimethyl-3-pyranylmethoxy)-",1,1,-,-
"2-Propanol, 1-[2-(tetrahydro-2, 6-dimethyl-3-pyranylmethoxy)-1-methylethoxy]-",4,2,4A,-
"2-Propanol, 3, 3, 3-tribromo-2-methyl-",-,-,1,1
"2-Propanol, 2-(trichloromethyl-, benzoate",-,1,-,-
"2-Propanol, 1-[2-(3, 3, 5-trimethylcyclohexyloxy) propoxy]-",2,1,1,-
"2-Propanone, 1, 1-diphenyl-",-,-,1,1
"2-Propanone, 1, 3-diphenyl-",-,1,-,-
"2-Propanone, hydroxy-, acetate",2,1,1,-
"Propionic acid, 4-sec-butylcyclohexyl ester",-,-,1,-
"Propionic acid, 4-tert-butylcyclohexyl ester",1,1,-,-
"Propionic acid, 2-tert-butyl-6-isopropylphenyl ester",-,-,1,-
"Propionic acid, 2-(p-tert-butylphenoxy) ethyl ester",1,1,-,-
"Propionic acid, p-tert-butylphenyl ester",-,-,1,-
"Propionic acid, alpha-tert-butylpiperonyl ester",-,-,1,-
"Propionic acid, 2-tert-butyl-p-tolyl ester",-,-,1,-
"Propionic acid, 4-tert-butyl-o-tolyl ester",-,-,1,-
"Propionic acid, 6-tert-butyl-m-tolyl ester",-,-,1,-
"Propionic acid, carvacryl ester",1,3,-,-
"Propionic acid, catechol diester",1,1,-,-
"Propionic acid, 2-chloro-4-biphenylyl ester",-,-,1,-
"Propionic acid, o-chlorophenyl ester",-,-,1,-
"Propionic acid, p-chlorophenyl ester",-,-,2,-
"Propionic acid, 4-chloro-o-tolyl ester",-,-,2,-
"Propionic acid, 6-chloro-o-tolyl ester",-,-,2,-
"Propionic acid, cinnamyl ester",2,3,4A,-
"Propionic acid, cyclohexyl ester",-,-,1,-
"Propionic acid, 2-cyclohexylcyclohexyl ester",-,-,1,-
"Propionic acid, 4-cyclohexylcyclohexyl ester",-,-,1,-
"Propionic acid, 2-cyclohexylethyl ester",1,1,1,-
"Propionic acid, o-cyclohexylphenyl ester",-,-,1,-
"Propionic acid, p-cyclohexylphenyl ester",-,-,1,-
"Propionic acid, beta-diamylamino-, dipentenecarbinol ester, hydrogenated",1,-,-,-
"Propionic acid, 2,6-dibromo-4-tert-butylphenyl ester",-,-,1,-
"Propionic acid, 2,4-di-tert-butyl-6-isopropylphenyl ester",-,-,1,-
"Propionic acid, 4,6-di-tert-butyl-m-tolyl ester",-,-,1,-
"Propionic acid, 3,5-dichloro-2-biphenylyl ester",-,-,1,-
"Propionic acid, 2,4-dichloro-1-naphthyl ester",-,-,1,-
"Propionic acid, 2,4-dichlorophenyl ester",-,-,1,-
"Propionic acid, diester with 1,4-butanediol",2,2,3,-
"Propionic acid, diester with 2-butyl-2-ethyl-1,3-propanediol",1,-,-,-
"Propionic acid, diester with 2-butyne-1,4-diol",2,3,-,-
"Propionic acid, diester with cis(and trans)-1,2-cyclohexanediol",1,1,-,-
"Propionic acid, diester with 1,3-cyclohexanediol",3,3,-,-
"Propionic acid, diester with cis-1,4-cyclohexanediol",-,-,2,1
"Propionic acid, diester with diethylene glycol",3,4,-,-
"Propionic acid, diester with 2,4'-dihydroxybenzophenone",-,-,1,-
"Propionic acid, diester with 4,4'-dihydroxybenzophenone",-,-,1,-
"Propionic acid, diester with 2,5-dimethyl-3-hexype-2,5-diol",2,1,2,-
"Propionic acid, diester with 1,2-hexanediol",3,4,-,-
"Propionic acid, diester with N-2-hydroxyethylactamide",-,-,1,-
"Propionic acid, diester with 1-(3-hydroxy-1-propynyl)-1-cyclohexanol",1,2,-,-
"Propionic acid, diester with 2-methoxy-1,3-propanediol",-,-,2,-
"Propionic acid, diester with 2-methyl-1,3-propanediol",2,2,2,-
"Propionic acid, diester with p,p'-(1-methylpropylidene)diphenol",-,-,1,-
"Propionic acid, diester with 1,5-naphthalenediol",-,-,1,-
"Propionic acid, diester with 1,9-nonanediol",1,1,-,-
"Propionic acid, diester with 1,5-pentanediol",3,3,-,-
"Propionic acid, diester with phenyl-1,2-ethanediol",1,1,-,-
"Propionic acid, diester with 1-phenyl-1,3-propanediol",1,2,-,-
"Propionic acid, diester with 1,3-propanediol",2,2,3,-
"Propionic acid, diester with triethylene glycol",2,2,1,1
"Propionic acid, p-(alpha, alpha-dimethylbenzyl)-phenyl ester",-,-,1,-
"Propionic acid, 3,5-dinitro-2-biphenylyl ester",-,-,1,-
"Propionic acid, 2,4-dinitrophenyl ester",-,-,-,-
"Propionic acid, 2-(2,4-dinitrophenyl)hydrazide",-,-,1,-
"Propionic acid, 4,6-dinitro-o-tolyl ester",-,-,-,-
"Propionic acid, 1,3-dioxolan-4-ylmethyl ester",1,1,-,-
"Propionic acid, dodecyl ester",1,1,-,-
"Propionic acid, ester with N-butyl-N-(2-hydroxyethyl)propionamide",4,2,4,-
"Propionic acid, ester with 2,5-di-tert-butylhydroquinone",-,-,1,-
"Propionic acid, ester with diethylene glycol (90%) and Phthalic acid, ester with diethylene glycol (10%)",2,1,-,-
"Propionic acid, ester with hexahydro-4,7-methanoinden-5-ol",-,-,1,-
"Propionic acid, ester with hexahydro-4,7-methanoinden-5(or 6)-ol",-,-,3,-
"Propionic acid, ester with N-(2-hydroxyethyl)-propionamide",2,2,4A,-
"Propionic acid, 2-ethylbutylidene diester",1,-,-,-
"Propionic acid, ethylene diester",1,1,-,-
"Propionic acid, m-ethylphenyl ester",-,-,1,-
"Propionic acid, p-ethylphenyl ester",-,-,1,-
"Propionic acid, eugenyl ester",-,-,1,-
"Propionic acid, glyceryl triester",1,2,-,-
"Propionic acid, hexadecyl ester",1,2,-,-
"Propionic acid, 1,6-hexanediol diester",4,3,1,-
"Propionic acid, hydroquinone diester",-,-,1,-
"Propionic acid, 5-hydroxyamyl ester",4,2,4,-
"Propionic acid, 2-hydroxycyclohexyl ester, cis-and trans-propionic acid, 3-hydroxycyclohexyl ester",3,2,-,-
"Propionic acid, 4-hydroxycyclohexyl ester",4,2,4A,-
"Propionic acid, 2-(2-hydroxyethoxy)ethyl ester",4A,2,4A,-
"Propionic acid, 3-hydroxyphenyl ester",1,1,-,-
"Propionic acid, 3-hydroxyphenyl ester",1,1,-,-
"Propionic acid, isobornyl ester",1,1,-,-
"Propionic acid, isobornyl ester",1,2,-,-
"Propionic acid, isobornyl ester, chloro derivative",1,2,-,-
"Propionic acid, 2-isopropylcyclohexyl ester",-,-,1,-
"Propionic acid, 4-isopropylcyclohexyl ester",-,-,1,-
"Propionic acid, o-isopropylphenyl ester",-,-,1,-
"Propionic acid, p-isopropylphenyl ester",-,-,1,-
"Propionic acid, p-methoxybenzyl ester",4,2,4,-
"Propionic acid, p-methoxyhenethyl ester",1,1,-,-
"Propionic acid, ester",1,1,-,-
"Propionic acid, acid",-,-,1,-
"Propionic acid, acid 2-naphthyl ester",-,-,1,-
"Propionic acid, acid 5-nitrofurfuryl ester",-,-,1,-
"Propionic acid, acid o-nitrophenyl ester",-,-,4A,-
"Propionic acid, acid p-nitrophenyl ester",-,-,1,-
"Propionic acid, acid 2-nitro-p-tolyl ester",-,-,1,-
"Propionic acid, acid p-nonylphenyl ester",-,-,1,-
"Propionic acid, acid pentabromophenyl ester",-,-,1,-
"Propionic acid, acid pentachlorophenyl ester",-,-,1,-
"Propionic acid, acid phenethyl ester",-,-,1,-
"Propionic acid, acid 2-phenoxyethyl ester",1,2,-,-
"Propionic acid, acid phenyl ester",1,1,-,-
"Propionic acid, acid 2-phenycyclohexyl ester",2,1,1,-
"Propionic acid, acid 1-phenylethyl ester",1,1,-,-
"Propionic acid, acid 2-phenylhydrazide",-,-,-,-
"Propionic acid, acid 2-phenyl-2-hydroxyethyl ester",4,2,-,-
"Propionic acid, acid 3-phenylpropyl ester",-,-,1,-
"Propionic acid, acid piperonyl ester",1,-,-,-
"Propionic acid, acid o-propoxybenzyl ester",1,2,-,-
"Propionic acid, acid alpha-propylpiperonyl ester",-,-,1,-
"Propionic acid, acid resorcinol diester",2,1,3,-
"Propionic acid, acid tetra ester with pentaerythritol",-,-,1,-
"Propionic acid, acid 2, 3, 4, 6-tetrachlorophenyl ester",-,-,1,-
"Propionic acid, acid tetrahydrofurfuryl ester",-,-,2,-
"Propionic acid, acid 1, 2, 3, 4-tetrahydro-2-naphthyl ester",3,3,4,-
"Propionic acid, acid 2, 2'-thiodiethanol diester",2,1,4A,-
"Propionic acid, acid m-tolyl ester",1,1,-,-
"Propionic acid, acid o-tolyl ester",1,-,-,-
"Propionic acid, acid m(and p)-tolyl ester",2,1,2,-
"Propionic acid, acid 2-(m-tolyl)cyclohexyl ester",1,2,-,-
"Propionic acid, acid 2, 4, 6-tribromophenyl ester",-,-,1,-
"Propionic acid, acid 2, 4, 5-trichlorophenyl ester",-,-,1,-
"Propionic acid, acid 2, 4, 6-trichlorophenyl ester",-,-,1,-
"Propionic acid, acid p-xylene diester",1,2,-,-
"Propionic acid, acid beta-allyloxy-, allyl ester",1,1,2,-
"Propionic acid, acid beta-allyloxy-, methyl ester",-,-,1,-
"Propionic acid, acid beta-amyloxy-, amyl ester",-,-,1,-
"Propionic acid, acid beta-anisoyl-",-,-,1,-
"Propionic acid, acid beta-anisoyl-, allyl ester",-,-,2,-
"Propionic acid, acid beta-anisoyl-, methyl ester",-,-,1,-
"Propionic acid, beta-benzoyl-",-,-,1,1
"Propionic acid, beta-benzoyl-, allyl ester",-,-,1,1
"Propionic acid, beta-benzoyl-, ethyl ester",2,2,2,1
"Propionic acid, alpha-benzoyl-beta-(6-propyl)pheromyil-, ethyl ester",-,-,1,-
"Propionic acid, beta-benzyloxy-, ethyl ester",2,2,-,-
"Propionic acid, beta-(benzylsulfonyl)-, ethyl ester",-,-,1,1
"Propionic acid, beta-(benzylsulfonyl)-, methyl ester",-,-,-,-
"Propionic acid, alpha-bromo-, phenethyl ester",-,-,1,-
"Propionic acid, alpha-bromo-, 3-phenylpropyl ester",-,-,1,-
"Propionic acid, beta-bromo-",-,-,2,-
"Propionic acid, beta-bromo-, butyl ester",1,2,-,-
"Propionic acid, beta-bromo-, diester with 1,3-propanediol",2,2,1,-
"Propionic acid, beta-bromo-, methyl ester",-,-,1,1
"Propionic acid, alpha-bromo-beta-methoxy-, methyl ester",-,-,1,1
"Propionic acid, beta-butoxy-, butoxyethyl ester",2,-,4,-
"Propionic acid, beta-butoxy-, butyl ester",1,1,-,-
"Propionic acid, beta-butoxy-, methoxyethyl ester",2,-,3,-
"Propionic acid, beta-butoxy-, methyl ester",1,1,-,-
"Propionic acid, beta-sec-butoxy-, sec-butyl ester",1,1,-,-
"Propionic acid, beta-sec-butoxy-, methyl ester",-,-,1,1
"Propionic acid, alpha-chloro-",-,-,1,-
"Propionic acid, alpha-chloro-, amyl ester",1,2,-,-
"Propionic acid, alpha-chloro-, benzyl ester",2,3,3,-
"Propionic acid, alpha-chloro-, 2-butoxyethyl ester",1,2,-,-
"Propionic acid, alpha-chloro-, 2-sec-butyl-cyclohexyl ester",-,-,1,-
"Propionic acid, alpha-chloro-, 4-sec-butyl-cyclohexyl ester",-,-,1,-
"Propionic acid, alpha-chloro-, 2-butyloctyl ester",-,-,1,-
"Propionic acid, alpha-chloro-, 2-(p-tert-butylphenoxy)ethyl ester",-,-,1,-
"Propionic acid, alpha-chloro-, 2-chloroethyl ester",-,-,1,-
"Propionic acid, alpha-chloro-, 1-chloroisopropyl ester",-,-,1,-
"Propionic acid, alpha-chloro-, cyclohexyl ester",-,-,1,-
"Propionic acid, alpha-chloro-, cyclohexylethyl ester",-,-,1,-
"Propionic acid, alpha-chloro-, diester with 1,3-butanediol",-,-,1,-
