MATERIAL,Repellent_cloth_YF,Repellent_skin_YF,Repellent_wash_YF,Repellent_space_YF
"Acetanilide, 2-mercapto-",-,-,-,-
"Acetanilide, 4'-[(Ï-methoxyphenyl)sulfamoyl]-",-,-,-,-
"Acetanilide, 4',5'--(methylenedioxy)-2-phenyl-2'-propyl-",1,-,-,6
"Acetanilide, N-methyl-4'-nitro-",1,-,-,-
"Acetanilide, 4'-nitro-2'-phenyl-",1,-,-,-
"Acetanilide, 4'--(piperidinosulfonyl)-",1,-,-,-
"Acetanilide, 4'--(1-pyrrolidinylsulfonyl)-",1,-,-,-
"Acetanilide, 2,2',5'-trichloro-",1,-,-,-
"Ï-Acetanisidide, 2-chloro-",1,-,-,-
"Ï-Acetanisidide, 2,2-dichloro-",1,-,-,-
"Ï-Acetanisidide, 2-chloro-",1,-,-,-
"Acetic acid, allyl ester",1,-,-,-
"Acetic acid, isooctyl ester (a mixture of octyl isomers)",1,-,-,-
"Acetic acid, [(p-aminophenyl)thio]-",-,-,-,-
"Acetic acid, (2-benzothiazolylthio)-, calcium salt",-,-,-,-
"Acetic acid, (2-benzothiazolylthio)-, ethyl ester",1,-,-,6
"Acetic acid, bromo-, 2-bornyl ester",1,-,-,-
"Acetic acid, bromo-, 2-butoxyethyl ester",2,-,-,8
"Acetic acid, bromo-, 2-(p-sec-butylphenoxy)-1-methylethyl ester",1,-,-,7
"Acetic acid, bromo-, p-chlorobenzyl ester",1,-,-,-
"Acetic acid, bromo-, (chloromethyl)ethylene ester",1,-,-,-
"Acetic acid, bromo-, 2-chloro-1-methylethyl ester",-,-,-,9
"Acetic acid, bromo-, p-chlorophenethyl ester",1,-,-,9
"Acetic acid, bromo-, 2-(Ï-chlorophenoxy)-1-methylethyl ester",1,-,-,8
"Acetic acid, bromo-, 2-(p-chlorophenoxy)-1-methylethyl ester",1,-,-,-
"Acetic acid, bromo-, 3-chloropropyl ester",-,-,-,6
"Acetic acid, bromo-, 2-cyclohexylcyclohexyl ester",1,-,-,6
"Acetic acid, bromo-, trans-1,2-cyclopentylene ester",1,-,-,-
"Acetic acid, bromo-, cyclopentyl ester",1,-,-,-
"Acetic acid, bromo-, decyl ester",1,-,-,-
"Acetic acid, bromo-, 2,3-dibromopropyl ester",1,-,-,8
"Acetic acid, bromo-, 2-(2,4-dichlorophenoxy)-1-methylethyl ester",1,-,-,8
"Acetic acid, bromo-, 2,4-dimethylbenzyl ester",1,-,-,6
"Acetic acid, bromo-, 3,4-dimethylbenzyl ester",1,-,-,-
"Acetic acid, bromo-, 3,7-dimethyl-6-octenyl ester",1,-,-,-
"Acetic acid, bromo-, 2,2-dimethylpentyl ester",1,-,-,6
"Acetic acid, bromo-, 2-ethylbutyl ester",1,-,-,9
"Acetic acid, bromo-, 4-ethyl-l-(3-ethylpentyl)octyl ester",1,-,-,6
"Acetic acid, bromo-, 4-ethyl-l-methyloctyl ester",1,-,-,-
"Acetic acid, bromo-, heptyl ester",1,-,-,8
"Acetic acid, bromo-, hexadecyl ester",1,-,-,6
"Acetic acid, bromo-, hexyl ester",1,-,-,7
"Acetic acid, bromo-, 3-methoxybutyl ester",1,-,-,6
"Acetic acid, bromo-, 2-methoxy-l-methylethyl ester",1,-,-,-
"Acetic acid, bromo-, 3-methoxypropyl ester",1,-,-,-
"Acetic acid, bromo-, m-methylbenzyl ester",1,-,-,7
"Acetic acid, bromo-, l-methyl-2-phenoxyethyl ester",1,-,-,-
"Acetic acid, bromo-, p-nitrobenzyl ester",1,-,-,6
"Acetic acid, bromo-, nonyl ester",1,-,-,6
"Acetic acid, bromo-, 5-norbornen-2-ylmethyl ester",1,-,-,-
"Acetic acid, bromo-, pentamethylene ester",1,-,-,7
"Acetic acid, bromo-, 3-(3-phenoxypropoxy)propyl ester",1,-,-,-
"Acetic acid, bromo-, 1,2,3-propanetriyl ester",1,-,-,-
"Acetic acid, bromo-, propylene ester",1,-,-,6
"Acetic acid, bromo-, 2-propylheptyl ester",1,-,-,6
"Acetic acid, bromo-, tetradecyl ester",1,-,-,9
"Acetic acid, bromo-, (tetrahydropyran-2-yl)methyl ester",2,-,-,9
"Acetic acid, bromo-, tetramethylene ester",1,-,-,7
"Acetic acid, bromo-, 1,3,3-trimethyl-2-norbornyl ester",1,-,-,-
"Acetic acid, bromo-, 2,2,4-trimethylpentyl ester",1,-,-,-
"Acetic acid, bromo-, 10-undecenyl ester",1,-,-,-
"Acetic acid, bromo-, undecyl ester",N/A,N/A,N/A,N/A
"Acetic acid, (p-tert-butylphenoxy)-, allyl ester",N/A,N/A,N/A,N/A
"Acetic acid, (p-tert-butylphenoxy)-, butyl ester",N/A,N/A,N/A,N/A
"Acetic acid, (p-tert-butylphenoxy)-, 2-chloroethyl ester",N/A,N/A,N/A,N/A
"Acetic acid, (p-tert-butylphenoxy)-, isobutyl ester",N/A,N/A,N/A,N/A
"Acetic acid, (p-tert-butylphenoxy)-, isopentyl ester",N/A,N/A,N/A,N/A
"Acetic acid, (p-tert-butylphenoxy)-, isopropyl ester",N/A,N/A,N/A,N/A
"Acetic acid, (p-tert-butylphenoxy)-, 2-methoxyethyl ester",N/A,N/A,N/A,N/A
"Acetic acid, (p-tert-butylphenoxy)-, pentyl ester",N/A,N/A,N/A,N/A
"Acetic acid, (p-tert-butylphenoxy)-, propyl ester",N/A,N/A,N/A,N/A
"Acetic acid, (p-tert-butylphenoxy)-, 2-propynyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, 4-allyl-2-methoxyphenyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, 2-bornyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, 3-bromo-4-biphenylyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, 6-bromo-a-(1-bromoethyl)-plperonyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, 2-bromo-4-tert-butylphenyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, 2-bromoethyl ester",N/A,N/A,N/A,N/A
"Acetic acid, chloro-, p-bromophenyl ester",N/A,N/A,N/A,N/A
