Chemical,Repellent_skin_YF,Repellent_cloth_YF,
Piperonyl alcohol,N/A,3,
"Piperonyl cyclohexenone"" (Chemical #312)",1,N/A,
Piperonylic acid,N/A,N/A,
"Piperonylic acid, n-amyl ester",N/A,1,
"Piperonylic acid, n-butyl ester",1,N/A,
"Piperonylic acid, ethyl ester",1,N/A,
"Piperonylic acid, n-propyl ester",1,N/A,
"Piperonylic acid, tetrahydro-furfuryl ester",2,N/A,
"Piperonylidenemalonic acid, di-n-butyl ester",1,N/A,
"Piperonylidenemalonic acid, diethyl ester",N/A,1,
"Piperonymalonic acid, diethyl ester",2,N/A,
Piperonyloin,N/A,N/A,
"Pivalic acid, allyl ester",1,N/A,
"Pivalic acid, 1,5-pentanediol diester",4,4,
"Pivalic acid, neo-pentyl ester",1,N/A,
"2-Pivelyl-1,3-indandione (tert-butyl valone)",N/A,N/A,
Plantain leaves (extract),N/A,N/A,
Polyamylnaphthalene,1,N/A,
Polybenzyl,3,N/A,
Polybutyldi phenyl ether,1,N/A,
Polythoxyalkane,1,N/A,
"Polymeric fatty acids from soybean oil, methyl esters",1,N/A,
Poly-pale resin,N/A,N/A,
Poly(alpha-phenylethyl)phenol (low molecular weight),N/A,1,
Poly(alpha-phenylethyl)phenol (high molecular weight),1,N/A,
Polypropylene glycol,1,N/A,
Polyvinyl alcohol,N/A,1,
Potassium acid sulfate,N/A,2,
Potassium chlorate,N/A,N/A,
Potassium ferricyanide,N/A,1,
Prickly ash extract,N/A,N/A,
Pristimera celastroides extractives of stems and leaves,N/A,N/A,
Procaine hydrochloride,N/A,N/A,
Prontosil (sulfamidodiaminoazo-benzene),N/A,1,
"Propane-1,1,2,3-tetracarboxylic acid, tetraethyl ester",1,N/A,
"1,1,2-Propanetricarboxylic acid, triethyl ester",1,N/A,
"iso-Propenylallylmalonic acid, diethyl ester",1,N/A,
"iso-Propenylbenzylmalonic acid, diethyl ester",2,N/A,
"iso-Propenyl-n-butylmalonic acid, diethyl ester",1,N/A,
"iso-Propenyl-iso-butylmalonic acid, diethyl ester",2,1,
o-Propenyl-p-cresol,N/A,4,
"iso-Propenylethylmalonic acid, diethyl ester",2,1,
"(1-Propenyl)propylmalonic acid, diethyl ester",2,1,
"iso-Propenylpropylmalonic acid, diethyl ester",2,1,
"2-Propenyl-4,4,6-tri methyl-m-dioxane",1,N/A,
"Propionaldehyde, glycol ester (or Hemiacetal of ethylene glycol and propionaldehyde)",2,N/A,
N-(2-Propionoxyethyl)propion-anilide,2,4,
alpha-Propionaphthone,2,3,
Propionic acid,N/A,1,
"Propionic acid, benzyl ester",2,1,
"Propionic acid, 2-benzyloxy-ethyl ester",2,4,
"Propionic acid, 1,4-butanediol dester",2,2,
"Propionic acid, 2-(4-tert-butyl phenoxy)ethyl ester",1,N/A,
"Propionic acid, butyne??iol diester",2,N/A,
"Propionic acid, catechol diester",1,N/A,
"Propionic acid, cetyl ester",1,N/A,
"Propionic acid, clmamyl ester",2,4,
"Propionic acid, 1,2-cyclohexanediol diester (cis and trans)",1,N/A,
"Propionic acid, 1,3-cyclohexan-diol diester",3,N/A,
"Propionic acid, 1,4-cyclohexane-diol diester (cis)",N/A,2,
"Propionic acid 1,2-cyclohexane-diol monoester (cis and trans)",3,N/A,
"Propionic acid, cyclohexandiol-1,3 monoester",4,4,
"Propionic acid, 1,4-cyclohexanediol monoester",4,4,
"Propionic acid, diethylene glycol diester",2,N/A,
"Propionic acid, diethylene glycol monoester",1,N/A,
"Propionic acid, 2,5-dimethyl-3-hexynediol-2,5 diester",2,2,
"Propionic acid, 4,6-dinitro-cresol ester",N/A,N/A,
"Propionic acid, 2,4-dinitro-phenyl ester",N/A,N/A,
"Propionic acid, 2-ethyl-2-butyl-1,3-propanidiol diester",1,N/A,
"Propionic acid, ethylene glycol diester",1,N/A,
"Propionic acid, glucose pentaester",1,N/A,
"Propionic acid, glyceryl triester",1,N/A,
"Propionic acid, 1,2-hexanediol diester",3,N/A,
"Propionic acid, 1,6-hexanediol diester",3,N/A,
"Propionic acid, hydroquinone diester",N/A,1,
"Propionic acid, 1-hydroxy-methylethymyl-1-cyclohexyl diester",1,N/A,
"Propionic acid, isobornyl ester",1,N/A,
"Propionic acid, lauryl ester",1,N/A,
"Propionic acid, p-methoxybenzyl ester",4,4,
"Propionic acid, p-methoxyphen-ethyl ester",1,N/A,
"Propionic acid, 2,3-methylenedioxypropyl ester",1,N/A,
"Propionic acid, 2-methyl-1,3-trimethylene glycol diester",2,1,
"Propionic acid, beta-naphthylester",N/A,1,
"Propionic acid, 1,9-nonanediol diester",1,N/A,
"Propionic acid, pentamethylene diester",3,N/A,
"Propionic acid, 1,5-pentanediol monoester",4,4,
"Propionic acid, phenyl ester",1,N/A,
"Propionic acid, 2-phenyl-cyclohexyl ester",2,1,
"Propionic acid, 2-(1-phenyl-ethoxy) ethyl ester",1,N/A,
"Propionic acid, phenylethylene glycol diester",1,N/A,
"Propionic acid, 2-phenyl-2-hydroxyethyl ester",4,N/A,
"Propionic acid, 1-phenyl-1,3-propanediol diester",1,N/A,
"Propionic acid, piperonyl ester",1,N/A,
"Propionic acid, 1,3-propanediol diester",2,3,
"Propionic acid, o-n-propoxybenzyl ester",1,N/A,
"Propionic acid, resorcinol diester",2,2,
"Propionic acid, resorcinol monoester",1,N/A,
"Propionic acid, sorbitan tetraester (G-2400)",1,N/A,
"Propionic acid, 1,2,3,4-tetrahydro-2-naphthyl ester",3,4,
"Propionic acid, 2,2'-thiodiethanol diester",2,4,
"Propionic acid, o-tolyl ester",1,N/A,
"Propionic acid, m-tolyl ester",1,N/A,
"Propionic acid, tolyl esters (mixture of m- and p-)",2,2,
"Propionic acid, 2-(m-tolyl) cyclohexyl ester",1,N/A,
"Propionic acid, triethylene glycol diester",2,1,
"Propionic acid, o-xylylene diester",1,N/A,
"Propionic acid, p-xylylene diester",1,N/A,
   ,1,N/A,
Propiontrile,2,2,
p-Propionotolude,N/A,N/A,
"Propionoxyacetic acid, iso-butyl ester",2,1,
"6'-Propionoxy-coumarano-2',3': 3,2-(6-propionoxy-2,3-diphenyl) coumarane",N/A,N/A,
"1-Propionoxycyclohexanecar-boylic acid, propyl ester",2,2,
alpha-Propionoxypropionic acid,N/A,4,
"alpha-Propionoxypropionic acid, n-butyl ester",1,N/A,
"alpha-Propionoxypropionic acid, methyl ester",1,N/A,
"N-Propionyl-N-methylanthramilic acid, methyl ester",2,4,
Propionylmethylphenylformamide,2,N/A,
4-Propionylnorpholine,2,N/A,
"alpha-Propionylpropionic acid, cyclohexyl ester",2,4,
"alpha-Propionylpropionic acid, ethyl ester",1,N/A,
"Propionylsaltoylic acid, methyl ester",4,N/A,
"N-Propionyl-1,2,3,4-tetra-hydroisoquinoline",3,N/A,
"N-Propionyl-1,2,3,4-tetrahydro-quinaldine",4,4,
"N-Propionyl-1,2,3,4-tetrahydro-quinoline",2,4,
Propiophenone,N/A,1,
Propiophenone oxime,N/A,4,
p-iso-Propoxyacetophenone,N/A,4,
o-n-Propoxybenzaldehyde,1,N/A,
o-iso-Propoxybenzaldehyde,N/A,3,
p-n-Propoxybenzaldehyde,4,4,
p-iso-Propoxybenzaldehyde,4,3,
p-iso-Propoxybenzoic acid,N/A,1,
"o-iso-Propoxybenzoic acid, methyl ester",3,N/A,
o-n-Propoxybenzyl alcohol,3,N/A,
p-n-Propoxybenzyl alcohol,4,4,
p-iso-Propoxybenzyl alcohol,1,N/A,
alpha-Propoxy-beta-bromoethyl-benzene,N/A,2,
1-Propoxy-5-chloropentene-3,1,N/A,
p-iso-Propoxycinnamic acid,N/A,2,
"p-iso-Propoxycinnamic acid, n-butyl ester",1,N/A,
"p-iso-Propoxycinnamic acid, 2-ethyl-n-butyl ester",1,N/A,
"p-iso-Propoxycinnamic acid, 2-ethyl-n-hexyl ester",1,N/A,
2-n-Propoxycyclohexanol,1,N/A,
beta-iso-Propoxyethanol,1,N/A,
1-iso-Propoxyindane,1,N/A,
p-Propoxyphenethyl alcohol,3,N/A,
p-iso-Propoxyphenethyl alcohol,4,4,
2-Propoxyphenol,1,N/A,
"2-p-iso-Propoxyphenyl-5-ethyl-6-propyldioxane-1,3",2,2,
"beta-n-Propoxypropionic acid, methyl ester",1,N/A,
"beta-Propoxypropionic acid, propyl ester",1,N/A,
"x-(n-Propoxy) salicylic acid, 2-butoxyethyl ester",1,N/A,
"alpha-iso-Propoxy-alpha-tolute acid, iso-propyl ester",1,N/A,
N-Propylacetamide,3,N/A,
N-iso-Propylacetamide,1,N/A,
N-iso-Propylacetanilide,N/A,4,
"2-Propylacetoaectic acid, ethyl ester",1,N/A,
"iso-Propylacetoaectic acid, ethyl ester",1,N/A,
iso-Propyl alcohol,N/A,N/A,
n-Propylaniline,N/A,1,
p-iso-Propylbenzaldehyde,1,N/A,
p-iso-Propylbenzaldehyde oxime,N/A,1,
N-Propylbenzamide,2,N/A,
N-iso-Propylbenzamide,N/A,N/A,
N-iso-Propyl benzenesulfonamide,1,N/A,
4-iso-Propylbenzyl cyclohexyl ether,1,N/A,
n-Propyl benzyl ether,1,N/A,
iso-Propyl benzyl ether,N/A,2,
iso-Propyl benzyl ketone,1,N/A,
2-iso-Propyl-4-brono-5-methyl-phenol,N/A,2,
"(1-Propyl-1-butenyl)ethylcyano-acetic acid, methyl ester",1,N/A,
N-n-Propyl-n-butyranilide,2,4,
iso-Propyl chloroacetal,N/A,1,
N-Propyl-p-chlorobenzene-sulfonamide,N/A,N/A,
N-Propylcinnamamide,N/A,N/A,
N-iso-Propylcinnamamide,N/A,N/A,
"iso-Propylcinnamic acid, iso-propyl ester",1,N/A,
o-Propyl-p-cresol,N/A,3,
"iso-Propylcyanoacetic acid, ethyl ester",2,N/A,
"N-iso-propyl-2,4-dinitro aniline",N/A,N/A,
2-Propyl-m-dioxane,1,N/A,
iso-Propyldiohenylcarbinol,2,2,
x-iso-Propyl diphenyl ether,1,N/A,
"N-iso-Propyl-3,6-endomethylene-1,2,3,6-tetrahydrophthalimide",N/A,1,
Propylene diamine,N/A,1,
Propylene glycol,1,N/A,
"1,2-Propyrene oxide",N/A,N/A,
Propylene oxide tetramer,2,2,
"iso-Propylethylmalonic acid, diethyl ester",2,3,
2-iso-Propyl-5-ethyl-5-nitro-m-dioxane,2,4,
2-iso-Propyl-3-ethyl-2-pentene-nitrile,2,N/A,
"2-iso-Propyl-5-ethyl-6-n-propyldioxane-1,3",1,N/A,
"4-Propyl-1,7-heptadiencol-4",1,N/A,
"2-n-Propyl-1,3-heptanediol",2,4,
4-Propylheptanol-4,1,N/A,
N-n-Propylhexahydrophthalimide,4,4,
"2-Propyl-3-hydroxybutyric acid, ethyl ester",2,1,
2-Propyl-5-hydroxymethyl-5-nitro-m-dioxane,N/A,1,
"4,4'-iso-Propylidene-bis-(allyloxybenzene)",1,N/A,
"iso-Propylidenecyanacetic acid, ethyl ester",1,N/A,
"iso-Propylidememalonic acid, diethyl ester",2,2,
"alpha-iso-Propylidenesuccinic acid, diethyl ester",2,3,
"1-(n-Propyl)-2-ketohexahydro-benzoic acid, ethyl ester",2,3,
"alpha-iso-Propyl malonic acid, diethyl ester",2,2,
N-iso-Propyl-4-methylhexa-hydrophthalimide,4,N/A,
"2-iso-Propyl-5-methyl-1,3-hexanediol",4,N/A,
2-iso-Propyl-3-methyl-2-hexenentrile,1,N/A,
"6-iso-Propyl-2-methyl-4-oxo-2-cyclohexene-1-carboxylic acid, ethyl ester",1,N/A,
"1-Propyl-2-methyl-5-oxo-2-pyrro-line-3-carboxylic acid, ethyl ester",2,4,
"1-iso-Propyl-2-methyl-5-oxo-2-pyrroline-3-carboxylic acid, ethyl ester",2,2,
7-iso-Propyl-1-methyl phenanthrene (or Retene),N/A,1,
"N-iso-Propyl-3-methyl-1,2,3,6-tetrahydrophthalimide",2,4,
"N-n-Propyl -M-methyl-1,2,3,6-tetrahydrophthalimide",N/A,4,
"N-iso-Propyl-M-methyl-1,2,3,6-tetrahydrophthalimide",N/A,4,
N-Propyl-m-nitrobenzamide,N/A,1,
2-(4-iso-Propylphenoxy)ethanol,N/A,4,
N-n-Propyl-N-phenylacetamide,N/A,4,
2-(4-iso-Propylphenyl) acetic acid,N/A,1,
4-(4'-iso-Propylphenyl)butanoic acid,N/A,1,
n-Propyl phenyl carbinol,2,N/A,
iso-Propylphenyl carbinol,2,1,
2(p-n-Propylphenyl)ethanol,4,4,
2-(x-iso-Propylphenyl)ethanol,3,4,
p-iso-Propylphenylethyl alcohol,4,4,
"beta-iso-Propyl-beta-phenyl-glycidic acid, ethyl ester",N/A,1,
"beta-iso-Propyl-beta-phenyl-glycidic acid, methyl ester",3,4,
1-(p-iso-Propylphenyl)-3-methyl-2-butanol,4,4,
iso-Propyl phenyl methyl carbinol,2,3,
1-(p-iso-Propylphenyl)-2-pentanol,3,N/A,
"iso-Propylphosphonic acid, bis-(2-chloroethyl) ester",1,N/A,
"iso-Propylphosphonic acid, dimethyl ester",N/A,1,
N-Propyl-2-naphthalene-sulfonamide,N/A,N/A,
N-iso-Propyl-m-nitrobenzamide,N/A,1,
N-Propyl-p-nitrobenzamide,N/A,1,
N-iso-Propyl-p-nitrobenzamide,N/A,1,
N-Propylphthalimide,N/A,1,
N-Propylproponamide,3,N/A,
N-iso-Propylproponamide,1,N/A,
N-n-Propylproponamilide,4,4,
iso-Propyl iso-propyl-2-cyclohexylphenyl ether,1,N/A,
p-Propylsulfamylacetamilide,N/A,N/A,
"1-n-Propyl-1,2,3,4-tetrahydro-2-naphthol",N/A,1,
"N-n-Propyl 1,2,3,6-tetrahydro-phthalimide",4,4,
"N-iso-Propyl-1,2,3,6-tetrahydrophthalimide",N/A,4,
Propyl 2-thieryl ketone,2,2,
"Propythiosuccinic acid, di(2-ethylhexyl) ester",1,N/A,
N-iso-Propyl-alpha-toluanide,2,1,
"2-Propyl-4,4,6-trimethyl-m-dioxane",2,2,
N-iso-Propyl undecylenamide,N/A,N/A,
x-(x-iso-Propyl-2-xenoxy) propanol,1,N/A,
Pseudocumene fraction (coal tar 1 fraction),N/A,N/A,
Pulegone,N/A,N/A,
Pyrethrun extract - 20% pyrethrins in Bayol-D,N/A,N/A,
Pyridine,N/A,1,
"Pyridine-2,3-dicarboxylic acid, dimethyl ester",N/A,1,
"beta-(2-Pyridyl)acrylic acid, ethyl ester",2,4,
Pyrogallol,N/A,1,
Pyrogallol dimethyl ether,4,3,
Pyrogallol trimethyl ether,2,3,
"Pyromellitic acid, tetramethyl ester",N/A,1,
Pyromuoconilide,N/A,N/A,
"1-Pyrrolacetic acid, iso-amyl ester",1,N/A,
"1-Pyrrolactic acid, butyl ester",3,N/A,
"1-Pyrrolacetic acid, cyclohexyl ester",N/A,1,
"1-Pyrrolacetic acid, cyclopen-tyl ester",4,4,
"1-Pyrrolacetic acid, propyl ester",2,2,
Pyruvic acid,N/A,1,
"Pyruvic acid, 2-butoxyethyl ester",3,N/A,
"Pyruvic acid, cyclohexyl ester",2,1,
"Pyruvic acid, ethoxyethoxy-ethyl ester",N/A,1,
"Pyruvic acid, ethyl ester",1,N/A,
"Pyruvic acid, 2-ethylbutyl ester",1,N/A,
"Pyruvic acid, 4-methylcyclo-hexyl ester",N/A,1,
Quinaldine (2-Hethylquinoline),N/A,2,
Quinhydrone,N/A,N/A,
Quinoline,N/A,N/A,
"Quinoline acid, diethyl ester",2,4,
8-Quinolinol,N/A,4,
Quinone,N/A,1,
Resacetophenone,N/A,1,
Resorcinol,N/A,1,
Resorcinol acetate propionate,1,N/A,
Resorcinol diethyl ether,2,N/A,
Resorcinol dimethyl ether,N/A,2,
Resorcinol ethers of terpinyl hydroxyl acetate,2,2,
Resorcinol-o-(2-heptotic acid),N/A,1,
Resorcinol monoethyl ether,N/A,N/A,
Resorcinol monomethyl ether,N/A,N/A,
Rhodamine,N/A,N/A,
Rhodione-beta,1,N/A,
"Ricinoleic acid, beta'-ethoxy-beta-ethoxyethyl ester",1,N/A,
"Ricinoleic acid, glyceryl monoester",1,N/A,
"Ricinoleic acid, mannitol triester",1,N/A,
"Ricinoleic acid, methyl ester",2,2,
"Ricinoleic acid, sorbitol triester",1,N/A,
Ricinoleyl alcohol,2,1,
Rose bengal,N/A,1,
Rotenone,N/A,1,
Rufigallol,N/A,1,
Ryanex,N/A,1,
"Sabadilla seed, powdered",N/A,N/A,
Saccharose,N/A,1,
Safrole,1,N/A,
Salicylaldehyde,1,N/A,
Salicylaldehyde-4-phenyl-3-thiosemicarbazone,N/A,N/A,
Salicylaldehyde semicarbazone,N/A,N/A,
Salicylaldoxime,N/A,1,
Salicylamide,N/A,2,
"Salicylanilide (""Shirlan"" Extra)",N/A,1,
Salicylic acid,N/A,4,
"Salicylic acid, allyl ester",1,N/A,
"Salicylic acid, amyl ester",1,N/A,
"Salicylic acid, iso-amyl ester",2,1,
"Salicylic acid, benzyl ester",1,N/A,
"Salicylic acid, beta-benzyloxy-ethyl ester",1,N/A,
"Salicylic acid, bornyl ester",1,N/A,
"Salicylic acid, 2-n-butoxy-ethyl ester",1,N/A,
"Salicylic acid, n-butyl ester",1,N/A,
"Salicylic acid carbonate, di-(beta-ethoxyethyl) ester",1,N/A,
"Salicylic acid, carveryl ester",2,2,
"Salicylic acid, cinchonine ester",N/A,N/A,
"Salicylic acid, cyclohexyl ester",2,N/A,
"Salicylic acid, 2-ethoxyethyl ester",1,N/A,
"Salicylic acid, ethyl ester",1,N/A,
"Salicylic acid, ethylene glycol monoester",3,N/A,
"Salicylic acid, fenchyl ester",1,N/A,
"Salicylic acid, n-hexyl ester",2,2,
"Salicylic acid, loralkyl ester",1,N/A,
"Salicylic acid, menthyl ester",1,N/A,
"Salicylic acid, 2-methoxyethyl ester",1,N/A,
"Salicylic acid, methyl ester",N/A,2,
"Salicylic acid, beta-naphthalene ester",N/A,1,
"Salicylic acid, beta-naphthyl ester",N/A,1,
"Salicylic acid, n-octyl ester",1,N/A,
"Salicylic acid, phenyl ester",N/A,1,
"Salicylic acid, phenylethyl ester",N/A,2,
"Salicylic acid, iso-propyl ester",1,N/A,
"Salicylic acid, propylene glycol monoester",N/A,1,
"Salicylic acid, tetrahydrofuryl ester",1,N/A,
"Salicylic acid, 2-thenyl ester",N/A,1,
"Salicylic acid, p-thymol ester",N/A,1,
Santalol,1,N/A,
Saponin,N/A,N/A,
Sebacic acid,N/A,1,
"Sebacic acid, diallyl ester",1,N/A,
"Sebacic acid, diamyl ester",1,N/A,
"Sebacic acid, di-sec- amyl ester",2,2,
"Sebacic acid, dibenzyl ester",1,N/A,
"Sebacic acid, dibutoxyethyl ester",N/A,N/A,
"Sebacic acid, dibutyl ester",1,N/A,
"Sebacic acid, di-iso-butyl ester",1,N/A,
"Sebacic acid, di-(beta-chloro-ethyl lactate)ester",1,N/A,
"Sebacic acid, di-beta-ethoxy-ethyl ester",1,N/A,
"Sebacic acid, diethyl ester",1,N/A,
"Sebacic acid, di-2-ethylhexyl ester (Plexol 201)",1,N/A,
"Sebacic acid, dimethallyl ester",1,N/A,
"Sebacic acid, dimethoxyethyl ester",1,N/A,
"Sebacic acid, dimethyl ester",2,N/A,
"Sebacic acid, di-(2-octyl)ester",1,N/A,
"Sebacic acid, diphenoxyethyl ester",N/A,2,
"Sebacic acid, mononethyl ester",N/A,N/A,
"Sebacic acid, triethylene glycol polyester",1,N/A,
Sebaconitrile,N/A,1,
Sellogen AS Conc. (alkyl aryl sulfonates),N/A,N/A,
Sesamin,N/A,1,
Sesamin concentrate,N/A,N/A,
"Silic acid, 2-chloroethyl ester",1,N/A,
"Silic acid, methyl ester",2,N/A,
"Silicon organic compound, Plug Cock Grease",1,N/A,
"Silicon organic compound, type 200, vis. 100 cstk.",1,N/A,
"Silicon organic compound, type 200, vis. 200 cstk.",1,N/A,
"Silicon organic compound, type 200, vis. 350 cstk.",1,N/A,
"Silicon organic compound, type 200, vis. 500 cstk.",1,N/A,
"Silicon organic compound, type 200, vis. 1,000 cstk.",1,N/A,
"Silicon organic compound, type 500, vis. 0.65 cstk.",1,N/A,
"Silicon organic compound, type 500, vis. 1.5 cstk.",1,N/A,
"Silicon organic compound, type 500, vis. 2.0 cstk.",1,N/A,
"Silicon organic compound, type 500, vis. 3.0 cstk.",1,N/A,
"Silicon organic compound, type 500, vis. 5.0 cstk.",1,N/A,
"Silicon organic compound, type 500, vis. 10 cstk.",1,N/A,
"Silicon organic compound, type 500, vis. 20 cstk.",1,N/A,
"Silicon organic compound, type 500, vis. 50 cstk.",1,N/A,
"Silicon organic compound, type 500, vis. 100 cstk.",1,N/A,
Skellysolve B (chiefly hexane),N/A,N/A,
Sodium arsenite,N/A,N/A,
Sodium bisulphate,N/A,N/A,
Sodium bisulphite,N/A,1,
Sodium cellulose glycolate,N/A,N/A,
Sodium diethylbarbituric acid,N/A,N/A,
Sodium fluoride,N/A,N/A,
Sodium fluosilicate,N/A,N/A,
Sodium Lauryl sulfate,N/A,N/A,
Sodium perborate,N/A,1,
"Sodium sulfate, anhydrous",N/A,N/A,
Sodium sulfide,N/A,N/A,
1-(Sodium sulfonethyl)-2-naphthol,N/A,N/A,
"4-Sodiumsulfophthalic acid, di-n-hexyl ester",N/A,1,
Sodium thiosulfate,1,N/A,
"Solvenol No. 1 (terpene hydrocarbons, chiefly dipentene)",1,N/A,
Solvent B-1819 (chiefly polymethylnaphthalenes),N/A,N/A,
Solvent naphtha (coal tar fraction),N/A,N/A,
Solvesso No. 1 (hydrogenated aromatic naphtha),N/A,N/A,
Solvesso #2 (hydrogenated aromatic petroleum fraction),N/A,N/A,
Solvesso #3 (hydrogenated aromatic petroleum fraction),N/A,N/A,
"Sorbic acid, n-butyl ester",N/A,2,
"Sorbic acid, ethyl ester",N/A,1,
"Sorbic acid, n-propyl ester",N/A,4,
Sorbitol,N/A,1,
Sorbitol triacetal (K-113),1,N/A,
Sovasol #73 (aromatic petroleum fraction),N/A,N/A,
Sovasol #74 (aromatic petroleum fraction),N/A,N/A,
Sovasol #75 (aromatic petroleum fraction),N/A,N/A,
Span 20 (Sorbitan monolaurate),1,1,
Span 40 (Sorbitan monopalmitate),N/A,N/A,
Span 60 (Sorbitan monostearate),N/A,N/A,
Span 80 (Sorbitan monooleate),1,N/A,
Span 85 (Sorbitan trioleate),N/A,N/A,
Special heavy solvent (coal tar fraction),N/A,N/A,
Spermaceti,N/A,1,
Stearamide,N/A,1,
Stearate 61-C-2280 (polyalkylene glycol stearate),1,N/A,
Stearic acid,N/A,1,
"Stearic acid, aluminum salt",N/A,1,
"Stearic acid, ammonium salt",N/A,N/A,
"Stearic acid, amyl ester",1,N/A,
"Stearic acid, benzyl ester",1,1,
"Stearic acid, butoxyethyl ester",1,N/A,
"Stearic acid, butyl ester",1,N/A,
"Stearic acid, calcium salt",N/A,1,
"Stearic acid, chloroethyl ester",N/A,1,
"Stearic acid, copper salt",N/A,1,
"Stearic acid, diethylene glycol diester",N/A,1,
"Stearic acid, diethylene glycol monoester",N/A,1,
"Stearic acid, N,N-dimethyl-beta-aminoethyl ester",N/A,1,
"Stearic acid, beta-ethoxyethyl ester",1,N/A,
"Stearic acid, ethyl ester",1,1,
"Stearic acid, glycerol diester",N/A,1,
"Stearic acid, glyceryl monoester",N/A,1,
"Stearic acid, glycerol triester",N/A,1,
"Stearic acid, glycerol-alpha, alpha-di-iso-amyl ether ester",1,3,
"Stearic acid, glycidyl ester",N/A,2,
"Stearic acid, magnesium salt",N/A,1,
"Stearic acid, beta-methoxy-ethyl ester",2,2,
"Stearic acid, nonaethylene glycol monoester",2,1,
"Stearic acid, phenyl ester",N/A,1,
"Stearic acid, polymerized glycol monoester",N/A,1,
"Stearic acid, propylene glycol monoester",N/A,1,
"Stearic acid, sorbitol diester",N/A,1,
"Stearic acid, tetrahydro-furfuryl ester",N/A,1,
"Stearic acid, trihydroxyethyl-amine ester",N/A,1,
"Stearic acid, zinc salt",N/A,3,
Stearoyl glycine,N/A,N/A,
Stearyl alcohol,N/A,1,
Stoddard solvent,N/A,N/A,
Styrene dibromide,N/A,2,
Styrene glycol,N/A,1,
Styryl cresol,N/A,1,
Styryl m-cresol,N/A,2,
Styryl p-cresol,1,N/A,
Styryl o-cresyl ether,N/A,2,
Styryl p-cresyl ether,N/A,1,
"2-Styryl-5,5-dinethyldioxane-1,3",N/A,1,
"Styryl phenol ""A""",N/A,1,
"Suberic acid,  diethyl ester",2,4,
"Succinanylidenealonic acid,  dimethyl ester",N/A,2,
Succinic acid,N/A,2,
"Succinic acid,  diallyl ester",2,4,
"Succinic acid, di-(allyl lactate):ester",1,N/A,
"Succinic acid,  di-n-amyl ester",2,1,
"Succinic acid,  di-iso-amyl ester",3,1,
"Succinic acid,  dibenzyl ester",N/A,1,
"Succinic acid,  dibutoxyethyl ester",1,N/A,
Succinic acid  di-n-butyl ester,1,N/A,
"Succinic acid,  di-iso-butyl ester",2,4,
"Succinic acid,  di-2-chloroallyl ester",2,1,
"Succinic acid,  dicyclohexyl ester",1,N/A,
"Succinic acid,  dicyclopentyl ester",2,4,
"Succinic acid,  dichoxyethyl ester",1,N/A,
"Succinic acid,  diethyl ester",1,1,
"Succinic acid, di-(2-ethylhexyl) ester",2,N/A,
"Succinic acid,  di-n-hexyl ester",1,N/A,
"Succinic acid, di ""HTP"" ester",2,1,
"Succinic acid,  dimethoxyethyl ester",1,N/A,
"Succinic acid,  dimethyl ester",1,N/A,
"Succinic acid, di-2-methyl-1-butyl ester",1,N/A,
"Succinic acid,  dioctyl ester",1,N/A,
"Succinic acid, di-(2-octyl)ester",1,N/A,
"Succinic acid, di-4-penten-1-yl ester",1,N/A,
"Succinic acid, di-2-pentyl ester",1,N/A,
"Succinic acid, di-3-pentyl ester",2,3,
"Succinic acid,  diphenoxyethyl ester",N/A,1,
"Succinic acid,  di-n-propyl ester",2,3,
"Succinic acid,  di-iso-propyl ester",2,1,
"Succinic acid, ditetrahydrofurfuryl ester",2,N/A,
"Succinic acid,  dodecyl ethyl ester",1,N/A,
"Succinic acid,  monoallyl ester",1,N/A,
"Succinic acid, mono-sec-butyl ester",2,N/A,
"Succinic acid,  monoethyl ester",N/A,2,
"Succinic acid, mono-2-methoxyethyl ester",1,N/A,
"Succinic acid,  monomethyl ester",1,N/A,
"Succinic acid, n-propyl hydrogen ester",1,N/A,
"Succinic acid, iso-propyl hydrogen ester",N/A,N/A,
"Succinic acid, triethylene glycol polyester",N/A,N/A,
Succinimide,1,N/A,
"Succinimide-N-acetic acid, butyl ester",1,N/A,
"Succinimide-N-cerboxylic acid, butyl ester",1,N/A,
Succinonitrile,N/A,N/A,
Sulfadiazine,N/A,N/A,
Sulfaguanidine,N/A,N/A,
Sulfanilamide,N/A,N/A,
2-Sulfanilamido-1-methyl-pyrimidine,N/A,N/A,
Sulfapyridine,N/A,N/A,
Sulfathiazole,N/A,N/A,
Sulf-corn oil green,N/A,N/A,
"Sulfonic acid, p-di-iso-butyl-phenoxyethoxyethoxyethyl ester (Triton X-200)",N/A,N/A,
1-(4'-Sulfophenyl)-3-methyl-5-pyrozolone,N/A,N/A,
"Sulfur, Flowers of",N/A,N/A,
Sulfur thiocyanate,N/A,N/A,
"Sulphuric acid, p-di-iso-butyl-phenoxyethoxyethoxyethyl ester (Triton X-300)",N/A,N/A,
"Sulphuric acid, p-di-iso-butyl-phenoxyethyl ester (Triton X-500)",N/A,N/A,
Sun Aro-Sol (aromatic petroleum solvent),N/A,N/A,
Sylvenol,1,N/A,
"Tall oil acids, glycidyl esters",1,N/A,
"Tall oil acids, tetrahydrofurfuryl esters",1,N/A,
Tannic acid,N/A,N/A,
d-Tartaric acid,N/A,N/A,
"Tartaric acid, di-n-amyl ester",3,N/A,
"Tartaric acid, dibenzyl ester",N/A,1,
